process,version,name,nameDiff,mandatory,mandatoryDiff,range,rangeDiff,default,defaultDiff,description,descriptionDiff
Zabbix server,4.0,StartPollers,match,no,match,0-1000,match,5,match,"Number of pre-forked instances of pollers<strong><sup>1</sup></strong>.<br><em>Note</em> that a non-zero value is required for internal, aggregated and calculated items to work.",match
Zabbix server,4.0,StartPreprocessors,match,no,match,1-1000,match,3,match,Number of pre-forked instances of preprocessing workers<strong><sup>1</sup></strong>.<br>The preprocessing manager process is automatically started when a preprocessor worker is started.<br>This parameter is supported since Zabbix 3.4.0.,match
Zabbix server,4.0,StartProxyPollers,match,no,match,0-250,match,1,match,Number of pre-forked instances of pollers for passive proxies<strong><sup>1</sup></strong>.<br>The upper limit used to be 255 before version 1.8.5.<br>This parameter is supported since Zabbix 1.8.3.,match
Zabbix server,4.0,StartSNMPTrapper,match,no,match,0-1,match,0,match,"If set to 1, SNMP trapper process will be started.<br>This parameter is supported since Zabbix 2.0.0.",match
Zabbix server,4.0,StartTimers,match,no,match,1-1000,match,1,match,Number of pre-forked instances of timers.<br>Timers process maintenance periods.<br>This parameter is supported since Zabbix 2.2.0.,match
Zabbix server,4.0,StartTrappers,match,no,match,0-1000,match,5,match,"Number of pre-forked instances of trappers<strong><sup>1</sup></strong>.<br>Trappers accept incoming connections from Zabbix sender, active agents and active proxies.<br>At least one trapper process must be running to display server availability and view queue in the frontend.<br>The upper limit used to be 255 before version 1.8.5.",match
Zabbix server,4.0,StartVMwareCollectors,match,no,match,0-250,match,0,match,Number of pre-forked vmware collector instances.<br>This parameter is supported since Zabbix 2.2.0.,match
Zabbix server,4.0,StatsAllowedIP,match,no,match,,match,,match,"List of comma delimited IP addresses, optionally in CIDR notation, or DNS names of external Zabbix instances. Stats request will be accepted only from the addresses listed here. If this parameter is not set no stats requests will be accepted.<br>If IPv6 support is enabled then '127.0.0.1', '::127.0.0.1', '::ffff:127.0.0.1' are treated equally and '::/0' will allow any IPv4 or IPv6 address. '0.0.0.0/0' can be used to allow any IPv4 address.<br>Example: StatsAllowedIP=127.0.0.1,192.168.1.0/24,::1,2001:db8::/32,zabbix.example.com<br>This parameter is supported since Zabbix 4.0.5.",match
Zabbix server,4.0,Timeout,match,no,match,1-30,match,3,match,"Specifies how long we wait for agent, SNMP device or external check (in seconds).",match
Zabbix server,4.0,TLSCAFile,match,no,match,,match,,match,"Full pathname of a file containing the top-level CA(s) certificates for peer certificate verification, used for encrypted communications between Zabbix components.<br>This parameter is supported since Zabbix 3.0.0.",match
Zabbix server,4.0,TLSCertFile,match,no,match,,match,,match,"Full pathname of a file containing the server certificate or certificate chain, used for encrypted communications between Zabbix components.<br>This parameter is supported since Zabbix 3.0.0.",match
Zabbix server,4.0,TLSCipherAll,match,no,match,,match,,match,GnuTLS priority string or OpenSSL (TLS 1.2) cipher string. Override the default ciphersuite selection criteria for certificate- and PSK-based encryption.<br>Example: TLS_AES_256_GCM_SHA384:TLS_CHACHA20_POLY1305_SHA256:TLS_AES_128_GCM_SHA256<br>This parameter is supported since Zabbix 4.0.19.,match
Zabbix server,4.0,TLSCipherAll13,match,no,match,,match,,match,Cipher string for OpenSSL 1.1.1 or newer in TLS 1.3. Override the default ciphersuite selection criteria for certificate- and PSK-based encryption.<br>Example for GnuTLS: NONE:+VERS-TLS1.2:+ECDHE-RSA:+RSA:+ECDHE-PSK:+PSK:+AES-128-GCM:+AES-128-CBC:+AEAD:+SHA256:+SHA1:+CURVE-ALL:+COMP-NULL::+SIGN-ALL:+CTYPE-X.509<br>Example for OpenSSL: EECDH+aRSA+AES128:RSA+aRSA+AES128:kECDHEPSK+AES128:kPSK+AES128<br>This parameter is supported since Zabbix 4.0.19.,match
Zabbix server,4.0,TLSCipherCert,match,no,match,,match,,match,GnuTLS priority string or OpenSSL (TLS 1.2) cipher string. Override the default ciphersuite selection criteria for certificate-based encryption.<br>Example for GnuTLS: NONE:+VERS-TLS1.2:+ECDHE-RSA:+RSA:+AES-128-GCM:+AES-128-CBC:+AEAD:+SHA256:+SHA1:+CURVE-ALL:+COMP-NULL:+SIGN-ALL:+CTYPE-X.509<br>Example for OpenSSL: EECDH+aRSA+AES128:RSA+aRSA+AES128<br>This parameter is supported since Zabbix 4.0.19.,match
Zabbix server,4.0,TLSCipherCert13,match,no,match,,match,,match,Cipher string for OpenSSL 1.1.1 or newer in TLS 1.3. Override the default ciphersuite selection criteria for certificate-based encryption.<br>This parameter is supported since Zabbix 4.0.19.,match
Zabbix server,4.0,TLSCipherPSK,match,no,match,,match,,match,GnuTLS priority string or OpenSSL (TLS 1.2) cipher string. Override the default ciphersuite selection criteria for PSK-based encryption.<br>Example for GnuTLS: NONE:+VERS-TLS1.2:+ECDHE-PSK:+PSK:+AES-128-GCM:+AES-128-CBC:+AEAD:+SHA256:+SHA1:+CURVE-ALL:+COMP-NULL:+SIGN-ALL<br>Example for OpenSSL: kECDHEPSK+AES128:kPSK+AES128<br>This parameter is supported since Zabbix 4.0.19.,match
Zabbix server,4.0,TLSCipherPSK13,match,no,match,,match,,match,Cipher string for OpenSSL 1.1.1 or newer in TLS 1.3. Override the default ciphersuite selection criteria for PSK-based encryption.<br>Example: TLS_CHACHA20_POLY1305_SHA256:TLS_AES_128_GCM_SHA256<br>This parameter is supported since Zabbix 4.0.19.,match
Zabbix server,4.0,TLSCRLFile,match,no,match,,match,,match,Full pathname of a file containing revoked certificates. This parameter is used for encrypted communications between Zabbix components.<br>This parameter is supported since Zabbix 3.0.0.,match
Zabbix server,4.0,TLSKeyFile,match,no,match,,match,,match,"Full pathname of a file containing the server private key, used for encrypted communications between Zabbix components.<br>This parameter is supported since Zabbix 3.0.0.",match
Zabbix server,4.0,TmpDir,match,no,match,,match,/tmp,match,Temporary directory.,match
Zabbix server,4.0,TrapperTimeout,match,no,match,1-300,match,300,match,Specifies how many seconds trapper may spend processing new data.,match
Zabbix server,4.0,TrendCacheSize,match,no,match,128K-2G,match,4M,match,"Size of trend cache, in bytes.<br>Shared memory size for storing trends data.",match
Zabbix server,4.0,UnavailableDelay,match,no,match,1-3600,match,60,match,"How often host is checked for availability during the unavailability period, in seconds.",match
Zabbix server,4.0,UnreachableDelay,match,no,match,1-3600,match,15,match,"How often host is checked for availability during the unreachability period, in seconds.",match
Zabbix server,4.0,UnreachablePeriod,match,no,match,1-3600,match,45,match,After how many seconds of unreachability treat a host as unavailable.,match
Zabbix server,4.0,User,match,no,match,,match,zabbix,match,"Drop privileges to a specific, existing user on the system.<br>Only has effect if run as 'root' and AllowRoot is disabled.<br>This parameter is supported since Zabbix 2.4.0.",match
Zabbix server,4.0,ValueCacheSize,match,no,match,"0,128K-64G",match,8M,match,"Size of history value cache, in bytes.<br>Shared memory size for caching item history data requests.<br>Setting to 0 disables value cache (not recommended).<br>When value cache runs out of the shared memory a warning message is written to the server log every 5 minutes.<br>This parameter is supported since Zabbix 2.2.0.",match
Zabbix server,4.0,VMwareCacheSize,match,no,match,256K-2G,match,8M,match,"Shared memory size for storing VMware data.<br>A VMware internal check zabbix[vmware,buffer,...] can be used to monitor the VMware cache usage (see Internal checks).<br>Note that shared memory is not allocated if there are no vmware collector instances configured to start.<br>This parameter is supported since Zabbix 2.2.0.",match
Zabbix server,4.0,VMwareFrequency,match,no,match,10-86400,match,60,match,Delay in seconds between data gathering from a single VMware service.<br>This delay should be set to the least update interval of any VMware monitoring item.<br>This parameter is supported since Zabbix 2.2.0.,match
Zabbix server,4.0,VMwarePerfFrequency,match,no,match,10-86400,match,60,match,"Delay in seconds between performance counter statistics retrieval from a single VMware service.<br>This delay should be set to the least update interval of any VMware monitoring item that uses VMware performance counters.<br>This parameter is supported since Zabbix 2.2.9, 2.4.4",match
Zabbix server,4.0,VMwareTimeout,match,no,match,1-300,match,10,match,"The maximum number of seconds vmware collector will wait for a response from VMware service (vCenter or ESX hypervisor).<br>This parameter is supported since Zabbix 2.2.9, 2.4.4",match
